cycle,electrolyte_A_CE_percent,electrolyte_B_CE_percent
1.0,94.73981428902638,93.01528546606384
2.0,96.53477484866616,94.92925323216006
3.0,97.70477343893475,96.28255080103936
4.0,98.42206685694627,97.21047108480698
5.0,98.86223575310262,97.80822909829746
6.0,99.17388183700632,98.21633036009865
7.0,99.37170720193848,98.52455007757577
8.0,99.48253064287296,98.72455847150842
9.0,99.58702862634472,98.82915790916647
10.0,99.66830098909371,98.91705784729626
11.0,99.68680004905748,99.015907906114
12.0,99.69998479612795,99.07656365181636
13.0,99.72282779578003,99.09701954634973
14.0,99.7051289854052,99.13680125471276
15.0,99.68573143458156,99.19439400639895
16.0,99.71045725865638,99.21022589349312
17.0,99.7243189282248,99.19144518990986
18.0,99.71893345260634,99.19621121235805
19.0,99.74547781546696,99.21209546543074
20.0,99.76425215708612,99.18665931401956
21.0,99.73681195373933,99.1450831636005
22.0,99.72345320485387,99.14464299172312
23.0,99.73034314941864,99.16104506328334
24.0,99.70778587670166,99.14592596917583
25.0,99.69725992021712,99.1325337773329
26.0,99.7306459849253,99.16511070713972
27.0,99.74403499421422,99.20167100950648
28.0,99.73513397414598,99.19692555419354
29.0,99.75337002950864,99.19102480510945
30.0,99.7566088028868,99.21771317289347
31.0,99.71972595099263,99.22794217631571
32.0,99.70911398837713,99.19182893658306
33.0,99.72206637675768,99.16340544923784
34.0,99.70882726446003,99.17068855331806
35.0,99.71175725734203,99.16296081466953
36.0,99.74968638177789,99.12550363737938
37.0,99.75523277181725,99.11715826519436
38.0,99.73718667775877,99.14976479019917
39.0,99.74590487451019,99.16398303275035
40.0,99.73878310654163,99.15251969334456
41.0,99.702450673472,99.170262168371
42.0,99.70372789687092,99.21100523525811
43.0,99.72695851034746,99.21342409051981
44.0,99.72137797008467,99.18519622422036
45.0,99.7302865536604,99.18359461418927
46.0,99.76266345246917,99.19434413573421
47.0,99.75366888347094,99.16532529417657
48.0,99.72617225719759,99.1229781461502
49.0,99.7306785504219,99.12352298139551
50.0,99.72242401525546,99.14076102034427
51.0,99.69571656037793,99.12663608484426
52.0,99.71230896407585,99.1151689960915
53.0,99.74228121486877,99.14913346146773
54.0,99.73646365849159,99.18507121278687
55.0,99.7419955324362,99.17880538357888
56.0,99.7622267924659,99.17172544728818
57.0,99.73915780946645,99.19664540447596
58.0,99.70909345597775,99.20406141940263
59.0,99.71851999999927,99.16593776621538
60.0,99.71706298395151,99.13740154695367
61.0,99.70309517026153,99.14515591081337
62.0,99.7306931251968,99.13786456160142
63.0,99.75825062337594,99.10210256998205
64.0,99.74340153608495,99.09668835181365
65.0,99.7403728524829,99.13139200075149
66.0,99.7492544565516,99.14623987598317
67.0,99.71959157688939,99.13525512115602
68.0,99.69694109682437,99.15322635051456
69.0,99.71822477633788,99.19244396395436
70.0,99.72514009998727,99.19208030124291
71.0,99.71941627884604,99.16185079790912
72.0,99.74855717157662,99.15912603554376
73.0,99.76448200902162,99.16847948890106
74.0,99.7367392062636,99.13859578923481
75.0,99.72744709329542,99.0974380604057
76.0,99.73235637024592,99.10030914987081
77.0,99.70603468186387,99.11924827014971
78.0,99.69778421233353,99.10663861274394
79.0,99.73099917716948,99.09733424017648
80.0,99.74049790030858,99.13269406240002
81.0,99.73404913598749,99.16790726796874
82.0,99.75590785070608,99.16002413979544
83.0,99.75655173366813,99.15170819459955
84.0,99.71972094134773,99.1748621886909
85.0,99.71248551138116,99.17958150064095
86.0,99.72243348966775,99.13968725657821
87.0,99.70577287526227,99.11132376151573
88.0,99.7116704991439,99.1198097354167
89.0,99.74967635988664,99.11317639351971
90.0,99.75229027823109,99.07925915202128
91.0,99.7376171046637,99.07678416312355
92.0,99.7493578787542,99.11344464174793
93.0,99.73879930734694,99.12870513092636
94.0,99.7022625387134,99.1179550264773
95.0,99.7061221537073,99.13589723804333
96.0,99.72579490724583,99.17337684556145
