sputter_time_s,LiF2_minus_relative_signal,C2HO_minus_relative_signal,Li7_minus_relative_signal
0.0,0.2454033097443048,0.9586082730907942,0.095
1.0,0.2521750897213363,0.947879050738669,0.10321559444802368
2.0,0.25905136212492996,0.9367891531226578,0.11109096158447102
3.0,0.2659692223038934,0.9252760271097802,0.1186334277256095
4.0,0.2728695079508549,0.9133088494687001,0.12585443749521652
5.0,0.2796985845159119,0.9008900124407838,0.13276937672316902
6.0,0.28640996655638046,0.8880548619565635,0.13939732865984591
7.0,0.2929657278857667,0.8748697022556443,0.1457607676223569
8.0,0.2993376594699488,0.861428171972223,0.15188519524450417
9.0,0.3055081412881229,0.8478461825191644,0.1577987254709945
10.0,0.31147070262079823,0.8342556853237252,0.16353162530140616
11.0,0.31723025420941015,0.8207975961495421,0.16911581903616846
12.0,0.32280298519303113,0.8076142491338169,0.17458436439274447
13.0,0.32821592739449773,0.7948417779376216,0.17997090933491142
14.0,0.333506199122402,0.7826028252463837,0.1853091387835043
15.0,0.33871994990024223,0.7709999645647155,0.19063222054773463
16.0,0.3439110361631203,0.7601101807355714,0.19597225982932895
17.0,0.3491394657269594,0.7499806998540415,0.20135977150704149
18.0,0.3544696555114702,0.7406263881776042,0.20682317910900652
19.0,0.35996855239357806,0.7320288570003629,0.21238834892999603
20.0,0.36570367102718626,0.7241373206107865,0.21807816715751047
21.0,0.3717411048738744,0.71687116212281,0.2239121671447939
22.0,0.3781435674779801,0.7101240720215759,0.22990621312255355
23.0,0.3849685201657299,0.7037695414349503,0.23607224568867644
24.0,0.39226643987630233,0.697667420792656,0.24241809337264209
25.0,0.4000792768141436,0.6916711984242098,0.24894735345622188
26.0,0.4084391461623763,0.6856356157300073,0.25565934406325497
27.0,0.41736729137380146,0.6794242178338594,0.2625491283285255
28.0,0.4268733487526054,0.6729164420236113,0.26960761023932434
29.0,0.4369549343813704,0.6660138706302033,0.27682170053370203
30.0,0.4475975651839172,0.6586453190025416,0.28417454985711077
31.0,0.45877491631191997,0.6507704905881027,0.2916458452440528
32.0,0.4704494073788787,0.6423820065960402,0.29921216492264896
33.0,0.4825731006174824,0.6335057033260679,0.30684738545575874
34.0,0.49508888507791793,0.6241991814838906,0.3145231343490229
35.0,0.5079319127734663,0.6145486838672368,0.322209280488878
36.0,0.5210312454523994,0.6046644658468895,0.3298744541351491
37.0,0.5343116646400059,0.594674902447669,0.3374865876940443
38.0,0.5476955929254136,0.5847196423743561,0.3450134681466665
39.0,0.5611050712992165,0.5749421695225699,0.35242329181144005
40.0,0.5744637357709894,0.5654821637209855,0.35968521207945303
41.0,0.587698736555897,0.5564680630254818,0.36676987088028795
42.0,0.6007425448149091,0.5480102192708769,0.3736499049104704
43.0,0.6135345952145799,0.5401950073409525,0.3803004180825634
44.0,0.626022717345198,0.5330801983880358,0.38669941222298754
45.0,0.6381643151625829,0.5266918406649612,0.39282816875123916
46.0,0.6499272609221237,0.5210228122307382,0.3986715749004125
47.0,0.6612904783430917,0.5160331217385747,0.40421838897485324
48.0,0.672244198738249,0.5116519414485197,0.4094614401695791
49.0,0.6827898833087546,0.5077812653757844,0.41439775958043956
50.0,0.6929398144643129,0.5043009998946756,0.41902864019521774
51.0,0.7027163686047303,0.501075218674856,0.42335962485439077
52.0,0.7121509920153237,0.49795925250473894,0.42740042238586073
53.0,0.7212829101190648,0.49480724058587033,0.4311647533301002
54.0,0.7301576080451506,0.49147974557797863,0.4346701278603957
55.0,0.7388251270942181,0.4878510313170165,0.437937559647149
56.0,0.7473382270136512,0.4838156198948061,0.4409912204962065
57.0,0.7557504678884832,0.479293782743118,0.4438580415906857
58.0,0.7641142677919075,0.47423567650823484,0.44656726806688624
59.0,0.7724789930568488,0.46862390587735486,0.44914997444240645
60.0,0.7808891371056187,0.46247437836645056,0.45163854907524104
61.0,0.7893826412349043,0.4558354060370153,0.4540661563552647
62.0,0.7979894066713772,0.44878510143869316,0.4564661857052878
63.0,0.8067300417066315,0.4414272049133388,0.45887169669146416
64.0,0.8156148809476641,0.4338855630120601,0.4613148696084809
65.0,0.824643305875881,0.4262975488190977,0.4638264708125522
66.0,0.8338033872197189,0.4188067707033932,0.4664353418263472
67.0,0.8430718603638665,0.4115554534954059,0.46916792083878617
68.0,0.8524144354093087,0.4046768933393629,0.4720478046759289
69.0,0.8617864338400393,0.39828838359102514,0.4750953586361694
70.0,0.8711337343227277,0.3924849843225669,0.47832738077517434
71.0,0.8803940012367739,0.38733446356590745,0.48175682630708444
72.0,0.889498161361479,0.3828736767138039,0.48539259677395447
73.0,0.8983720869701102,0.3791065747544193,0.4892393975423586
74.0,0.9069384376044285,0.3760039462291352,0.4932976660329671
75.0,0.9151186082001129,0.37350490649316304,0.4975635718951935
76.0,0.9228347281362874,0.37152005583310965,0.5020290891248385
77.0,0.9300116542803919,0.36993614010176445,0.5066821389085198
78.0,0.9365789012363638,0.36862196839714007,0.5115068007850727
79.0,0.9424724537756958,0.3674352761079365,0.5164835885611618
80.0,0.9476364097864388,0.366230171857933,0.52158978632553
81.0,0.9520244069180689,0.36486477612963214,0.5267998388920639
82.0,0.9556007922908173,0.3632086492524166,0.5320857900832981
83.0,0.9583415019983077,0.3611496175341993,0.5374177614585985
84.0,0.9602346254500826,0.3585996380137944,0.5427644634087109
85.0,0.961280638636237,0.3554993929445398,0.5480937299921272
86.0,0.9614922998895935,0.35182137202134484,0.5533730684880406
87.0,0.9608942113981347,0.3475712800098112,0.5585702143922942
88.0,0.9595220593029826,0.3427876956326022,0.5636536824908625
89.0,0.9574215544289855,0.3375399996697733,0.5685933047115893
90.0,0.9546471042706017,0.3319246813855705,0.5733607456780377
91.0,0.9512602545481977,0.326060217803356,0.577929987265594
92.0,0.9473279452375654,0.32008079551455015,0.5822777739830949
93.0,0.9429206312686869,0.3141292056681041,0.5863840116643466
94.0,0.9381103219361429,0.30834928633341474,0.5902321127418545
95.0,0.932968595352389,0.30287831026829265,0.5938092822765638
96.0,0.927564644940647,0.29783971899907025,0.5971067399172145
97.0,0.9219634139873691,0.2933365858807632,0.6001198740441773
98.0,0.9162238716835222,0.2894461524119644,0.6028483254970942
99.0,0.9103974799541691,0.2862157255539304,0.6052959994740015
100.0,0.9045268948262615,0.28366015212313794,0.6074710054017962
101.0,0.8986449392753737,0.28176100326663767,0.6093855257934773
102.0,0.8927738766197858,0.28046751196434844,0.6110556163060078
103.0,0.8869250048219987,0.2796992141755061,0.612500940373725
104.0,0.8810985827646395,0.2793501545203991,0.6137444428963235
